route,classification,initialStatus,initialLocation,status,finalUrl,contentType,cacheControl,canonical
"/local-tour/saigon-tron-ven","public","200","","200","http://127.0.0.1:3377/local-tour/saigon-tron-ven","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/local-tour/saigon-tron-ven"
"/vi/local-tour/saigon-tron-ven","public","200","","200","http://127.0.0.1:3377/vi/local-tour/saigon-tron-ven","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/vi/local-tour/saigon-tron-ven"
"/en/local-tour/saigon-tron-ven","public","200","","200","http://127.0.0.1:3377/en/local-tour/saigon-tron-ven","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/en/local-tour/saigon-tron-ven"
"/cn/local-tour/saigon-tron-ven","public","200","","200","http://127.0.0.1:3377/cn/local-tour/saigon-tron-ven","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/cn/local-tour/saigon-tron-ven"
"/jp/local-tour/saigon-tron-ven","public","200","","200","http://127.0.0.1:3377/jp/local-tour/saigon-tron-ven","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/jp/local-tour/saigon-tron-ven"
"/kr/local-tour/saigon-tron-ven","public","200","","200","http://127.0.0.1:3377/kr/local-tour/saigon-tron-ven","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/kr/local-tour/saigon-tron-ven"
"/local-tour/saigon-ve-dem","public","200","","200","http://127.0.0.1:3377/local-tour/saigon-ve-dem","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/local-tour/saigon-ve-dem"
"/vi/local-tour/saigon-ve-dem","public","200","","200","http://127.0.0.1:3377/vi/local-tour/saigon-ve-dem","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/vi/local-tour/saigon-ve-dem"
"/en/local-tour/saigon-ve-dem","public","200","","200","http://127.0.0.1:3377/en/local-tour/saigon-ve-dem","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/en/local-tour/saigon-ve-dem"
"/cn/local-tour/saigon-ve-dem","public","200","","200","http://127.0.0.1:3377/cn/local-tour/saigon-ve-dem","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/cn/local-tour/saigon-ve-dem"
"/jp/local-tour/saigon-ve-dem","public","200","","200","http://127.0.0.1:3377/jp/local-tour/saigon-ve-dem","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/jp/local-tour/saigon-ve-dem"
"/kr/local-tour/saigon-ve-dem","public","200","","200","http://127.0.0.1:3377/kr/local-tour/saigon-ve-dem","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/kr/local-tour/saigon-ve-dem"
